Filename,Number of Words Added,Time Taken,Collisions,Total Probe,Max Probe,Rehashes
english_large.txt,194433,54.65,194056,48392900,1366,0
english_large.txt,194433,1.97,76727,210350,42,0
english_large.txt,155363,TIMEOUT,155233,103655764,2300,0
english_large.txt,194433,47.04,194055,42424645,931,0
english_large.txt,194433,1.87,47957,81791,15,0
english_large.txt,194433,1.86,47956,82296,17,0
english_large.txt,194433,40.71,194036,36911604,748,0
english_large.txt,194433,1.93,19062,23590,7,0
english_large.txt,194433,1.96,19075,23701,7,0
english_small.txt,84097,8.71,83695,8224187,398,0
english_small.txt,84097,0.79,14288,20532,9,0
english_small.txt,84097,30.97,83969,27293806,1052,0
english_small.txt,84097,9.25,83692,8071335,376,0
english_small.txt,84097,0.76,8983,11221,7,0
english_small.txt,84097,0.83,8993,11206,6,0
english_small.txt,84097,8.73,83687,7745791,346,0
english_small.txt,84097,0.77,3493,3879,4,0
english_small.txt,84097,0.79,3604,3993,4,0
french.txt,202358,37.74,201747,34469798,882,0
french.txt,202358,2.24,85196,251124,49,0
french.txt,202358,98.06,201582,86439782,2263,0
french.txt,202358,33.6,201744,30528126,639,0
french.txt,202358,2.06,53471,95339,14,0
french.txt,202358,2.12,53460,95213,18,0
french.txt,202358,28.75,201721,26848918,518,0
french.txt,202358,1.94,22052,28611,7,0
french.txt,202358,2.0,21706,27988,7,0
