Filename,Number of Words Added,Time Taken,Collisions,Total Probe,Max Probe,Rehashes
english_large.txt,20288,TIMEOUT,19940,192710839,20107,0
english_large.txt,194433,2.11,76624,420489,278,0
english_large.txt,19621,TIMEOUT,19524,190192570,19541,0
english_large.txt,20003,TIMEOUT,19655,187118704,19915,0
english_large.txt,194433,1.8,47798,100107,43,0
english_large.txt,194433,1.85,47903,101113,51,0
english_large.txt,20433,TIMEOUT,20085,195574574,20359,0
english_large.txt,194433,1.7,19038,24410,15,0
english_large.txt,194433,1.79,19047,24487,13,0
english_small.txt,20146,TIMEOUT,19771,189676035,20034,0
english_small.txt,84097,0.77,14265,22543,21,0
english_small.txt,19528,TIMEOUT,19417,188060096,19459,0
english_small.txt,20331,TIMEOUT,19956,193272280,20056,0
english_small.txt,84097,0.75,9000,11736,13,0
english_small.txt,84097,0.77,9010,11798,10,0
english_small.txt,20340,TIMEOUT,19965,193449937,20056,0
english_small.txt,84097,0.73,3489,3910,5,0
english_small.txt,84097,0.76,3606,4047,8,0
french.txt,20580,TIMEOUT,20011,191274417,20488,0
french.txt,202358,2.41,85022,565691,299,0
french.txt,20646,TIMEOUT,20183,190200365,19901,0
french.txt,20873,TIMEOUT,20304,197160864,20779,0
french.txt,202358,2.04,53377,124796,57,0
french.txt,202358,2.07,53157,122372,49,0
french.txt,20842,TIMEOUT,20273,196532828,20779,0
french.txt,202358,1.98,22045,30701,21,0
french.txt,202358,2.14,21708,29927,12,0
